stop_id,stop_code,stop_name_en,official_route_codes,in_fare_matrix,in_official_route_pattern,in_schedule,schedule_facility_count,schedule_facility_ids_json,candidate_count,candidate_cardinality,candidate_official_stop_ids_json,mapping_status,mapping_quality,matching_method,source_id,unresolved_reason
520,TSA,Tin Sau,705;706,True,True,True,2,"[""pt_lrt_705_LOOP_TSA__85a0a1cb16_006"",""pt_lrt_706_LOOP_TSA__613c7dcaf7_009""]",1,one,"[""520""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
530,WEP,Wetland Park,705;706,True,True,True,2,"[""pt_lrt_705_LOOP_WEP__85a0a1cb16_007"",""pt_lrt_706_LOOP_WEP__613c7dcaf7_008""]",1,one,"[""530""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
540,THE,Tin Heng,705;706,True,True,True,2,"[""pt_lrt_705_LOOP_THE__85a0a1cb16_008"",""pt_lrt_706_LOOP_THE__613c7dcaf7_007""]",1,one,"[""540""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
550,TYA,Tin Yat,705;706;751;761P,True,True,True,6,"[""pt_lrt_705_LOOP_TYA__85a0a1cb16_009"",""pt_lrt_706_LOOP_TYA__613c7dcaf7_006"",""pt_lrt_751_1_TYA__3e4d4104b7_022"",""pt_lrt_751_2_TYA__2396822ec2_000"",""pt_lrt_761P_1_TYA__ce958a9804_000"",""pt_lrt_761P_2_TYA__ac964b0363_013""]",1,one,"[""550""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
560,SPW,Shui Pin Wai,610;614;615;761P,True,True,True,8,"[""pt_lrt_610_1_SPW__0d338bb9cb_021"",""pt_lrt_610_2_SPW__e81db4920d_004"",""pt_lrt_614_1_SPW__ac0079977b_019"",""pt_lrt_614_2_SPW__53fc8bc57f_004"",""pt_lrt_615_1_SPW__30a1330701_021"",""pt_lrt_615_2_SPW__ded13913a6_004"",""pt_lrt_761P_1_SPW__ce958a9804_009"",""pt_lrt_761P_2_SPW__ac964b0363_004""]",1,one,"[""560""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
570,FNR,Fung Nin Road,610;614;615;761P,True,True,True,8,"[""pt_lrt_610_1_FNR__0d338bb9cb_022"",""pt_lrt_610_2_FNR__e81db4920d_003"",""pt_lrt_614_1_FNR__ac0079977b_020"",""pt_lrt_614_2_FNR__53fc8bc57f_003"",""pt_lrt_615_1_FNR__30a1330701_022"",""pt_lrt_615_2_FNR__ded13913a6_003"",""pt_lrt_761P_1_FNR__ce958a9804_010"",""pt_lrt_761P_2_FNR__ac964b0363_003""]",1,one,"[""570""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
580,HLR,Hong Lok Road,610;614;615;761P,True,True,True,8,"[""pt_lrt_610_1_HLR__0d338bb9cb_023"",""pt_lrt_610_2_HLR__e81db4920d_002"",""pt_lrt_614_1_HLR__ac0079977b_021"",""pt_lrt_614_2_HLR__53fc8bc57f_002"",""pt_lrt_615_1_HLR__30a1330701_023"",""pt_lrt_615_2_HLR__ded13913a6_002"",""pt_lrt_761P_1_HLR__ce958a9804_011"",""pt_lrt_761P_2_HLR__ac964b0363_002""]",1,one,"[""580""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
590,TTR,Tai Tong Road,610;614;615;761P,True,True,True,8,"[""pt_lrt_610_1_TTR__0d338bb9cb_024"",""pt_lrt_610_2_TTR__e81db4920d_001"",""pt_lrt_614_1_TTR__ac0079977b_022"",""pt_lrt_614_2_TTR__53fc8bc57f_001"",""pt_lrt_615_1_TTR__30a1330701_024"",""pt_lrt_615_2_TTR__ded13913a6_001"",""pt_lrt_761P_1_TTR__ce958a9804_012"",""pt_lrt_761P_2_TTR__ac964b0363_001""]",1,one,"[""590""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
600,YLL,Yuen Long,610;614;615;761P,True,True,True,8,"[""pt_lrt_610_1_YLL__0d338bb9cb_025"",""pt_lrt_610_2_YLL__e81db4920d_000"",""pt_lrt_614_1_YLL__ac0079977b_023"",""pt_lrt_614_2_YLL__53fc8bc57f_000"",""pt_lrt_615_1_YLL__30a1330701_025"",""pt_lrt_615_2_YLL__ded13913a6_000"",""pt_lrt_761P_1_YLL__ce958a9804_013"",""pt_lrt_761P_2_YLL__ac964b0363_000""]",1,one,"[""600""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
920,SAS,Sam Shing,505,True,True,True,2,"[""pt_lrt_505_1_SAS__8bfeb9f4de_000"",""pt_lrt_505_2_SAS__37cb43f70f_013""]",1,one,"[""920""]",exact,A,exact_official_line_code_and_stop_code_tokens,mtr_light_rail_stop_patterns,
